Datetime,Tweet Id,original_text,geo,retweet_count,reply_count,like_count
2022-03-10 14:41:20+00:00,1501931212775952393,"September 16, 2019 – A gas explosion in Koltsovo, Novosibirsk Oblast, Russia sets off a fire in a bioweapons plant that houses viruses including smallpox, ebola and anthrax.  #VoidMoon    https://t.co/xG7IRDRJz4.",,1,0,0
2022-03-10 14:40:26+00:00,1501930987596304393,"At the high-containment labs identified by USA TODAY, experiments are underway involving drug-resistant tuberculosis, exotic strains of flu, the SARS and MERS viruses, plague, anthrax, botulism, ricin and the Ebola and Marburg hemorrhagic fever viruses

https://t.co/svUsBgSUX3",,0,0,0
2022-03-10 14:40:21+00:00,1501930967639859209,Don't be surprised if we find out that Ebola was imported into Africa from a U.S. biolab in Ukraine.,,0,0,0
2022-03-10 14:33:59+00:00,1501929362005757963,"At the high-containment labs in US, identified by USA TODAY, experiments are underway involving drug-resistant tuberculosis, exotic strains of flu, the SARS and MERS viruses, plague, anthrax, botulism, ricin and the Ebola and Marburg hemorrhagic fever viruses, according to",,0,1,0
2022-03-10 14:32:36+00:00,1501929016848453641,"Coronavirus🦠🧬 gone disappear just like swine flu, ebola,  ya daddy and them taxes.",,0,0,1
2022-03-10 14:25:02+00:00,1501927113389404160,"its pretty cool the United States was running a lab in the Ukraine that was studying Ebola and Marburg Virus. surely the protocols for safety were properly followed and nothing strange was being conducted there. 

@POTUS",,0,0,0
2022-03-10 14:19:01+00:00,1501925596804575233,How to give Vanitas Drop kicking ebola,,0,0,0
2022-03-10 14:12:14+00:00,1501923891194654725,So.. how long before Ebola is released? Or has it already?,,0,1,3
2022-03-10 14:10:38+00:00,1501923488013205506,"2008, I know the Georgia invasion preceded the market tank. 2014, I remember Ebola brought the mkt down 10%. 
Now we’re dealing with the repercussions of stimulus, consumer debt^, and a labor force full swing into inflation, energy crisis.
So why February 2022. https://t.co/7eY442wo9s",,0,1,3
2022-03-10 14:04:34+00:00,1501921962272116750,Any one know why doctors and dental surgery’s are still acting like Ebola is on the doorstep? Still I consultations available due to covid and restrictions ? What is their plan for normality ? @HumzaYousaf help? The backlogs will take an age to look at ?,,2,1,8
2022-03-10 13:49:19+00:00,1501918123817111558,"#病案本 211
And mental Ebola patient No. 2, unfortunately, was a pregnant woman when she was found to have the disease and the serum was pulled.

HHahahaha😂😂😂xqc how does 'being pregnant' feel?",,0,1,35
2022-03-10 13:49:00+00:00,1501918042024218628,How to spread ebola to Vanitas,,0,0,0
2022-03-10 13:26:48+00:00,1501912458159693824,"Omicron less fatal than Delta (and way less fatal than SARS, Spanish Flu, MERS, Ebola)

but much more infectious (except for Measles)

@McKinsey https://t.co/sFFBu10ktR",,0,0,2
2022-03-10 13:22:30+00:00,1501911375504973825,"Oh, so these bio labs specialized in hemorrhagic diseases like Ebola and Marburg’s. That’s concerning. And the US was aware and funding these? Oh, ok. And now they’re saying Russia gonna unleash this plague? Anyone feeling covid lockdown times 100?",,0,0,0
2022-03-10 13:18:10+00:00,1501910282276278275,There's a absence of Fanta amid the Ebola pandemic,,0,0,0
